solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCN(CC(F)(F)F)N(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.6618987695246708e-06,0.0009542245981651425,1.2234558768073824e-07,-9.410879775633127e-08,-0.7692046729295127,2.8236789924406944e-08
COC(C)(F)C(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.0642862927226755e-06,0.0010678626945433152,1.2167264531970596e-07,-9.345608891099333e-08,-0.7680944937576474,2.821655640871265e-08
CO[Si](C)OCCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.4859708609131695e-06,0.0011646486776515788,1.1762511416009257e-07,-8.940859587951085e-08,-0.7601148489243726,2.8216518280581718e-08
COCCC(F)(F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.8567643444907706e-06,0.0012631475484776574,1.2046279102292584e-07,-9.225070148666037e-08,-0.7658024581972678,2.8212089536265466e-08
CCC(OC)C(C)(C)COC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.342950683554965e-06,0.0011374514810849178,1.219556163952364e-07,-9.374739419392768e-08,-0.7687009173083845,2.8208222201308717e-08
COCC(C)(P(=O)(OC)OC)P(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.539507576695821e-06,0.0011793074776537417,1.1787635951692447e-07,-8.968505600302206e-08,-0.7608400562298095,2.819130351390241e-08
COCC(F)(F)COC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.64301782253704e-06,0.0012125568476690335,1.2125662194038496e-07,-9.30805180433644e-08,-0.7676324521816783,2.8176103897020567e-08
COCN(C(C)C)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.2114459631940083e-06,0.0010980742972719426,1.205755419502112e-07,-9.243006369469322e-08,-0.7665739021339835,2.814547825551797e-08
COCCN(C=O)CC(C)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.3356130648741203e-06,0.0011309853517523422,1.2126136359482021e-07,-9.312001949749084e-08,-0.7679281902901886,2.8141344097329387e-08
COC(C)(F)C(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1250422214826895e-06,0.001082955431730265,1.217154118228396e-07,-9.35893362022381e-08,-0.7689193570528288,2.8126075620601516e-08
COCCOCC(C)(C)N(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.8873899397580557e-06,0.0010137796917627827,1.2227453452294324e-07,-9.415898362779446e-08,-0.770062090157675,2.8115550895148764e-08
CCCOCC(C)(COC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.356814052163233e-06,0.0011416736978185353,1.2157224575601623e-07,-9.345974293103767e-08,-0.7687588754311766,2.8112502824978534e-08
CCC(C)(OCCOCCOC)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.5713332226107864e-06,0.0011915787557446583,1.1992545454536506e-07,-9.18146406888903e-08,-0.7655976042530563,2.8110813856474757e-08
COCC(CCl)(CCl)CCl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.3157788344314275e-06,0.0013617082271498678,1.0777508484819723e-07,-7.96708124192984e-08,-0.7392321938926413,2.8104272428898824e-08
COCC(F)(F)C(C)(C)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.78388313331104e-06,0.001245896776587611,1.2110298986028068e-07,-9.300904229309971e-08,-0.7680160696313642,2.8093947567180954e-08
CCC(COC)(COC(C)C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.3363967592974254e-06,0.0011311416457670958,1.2005763979404946e-07,-9.196981009455367e-08,-0.7660471274657864,2.808782969949579e-08
COOOC(C)(C)CCC(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.079596555932062e-06,0.0010692186738956205,1.2160115552115778e-07,-9.35147297262834e-08,-0.7690282985017561,2.8086425794874383e-08
COCC(CCl)(CCl)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.369499127118069e-06,0.0013752625110512574,1.0853038833020477e-07,-8.045133065466176e-08,-0.7412793033586852,2.807905767554299e-08
CCC[Si](CCC)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.1564537780808509e-06,0.0008197323530613478,1.2051139092060133e-07,-9.243254911272985e-08,-0.7670025912623383,2.8078841807871486e-08
CCOCC(C)(COC)C(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.3499393136880143e-06,0.001137902172014768,1.212456870073661e-07,-9.317531591641437e-08,-0.7684835495282702,2.8070371090951746e-08
COP(=O)(OC)OP(=O)(OC)OC(Cl)(Cl)OP(=O)(OC)OP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.1527867409819958e-06,0.0008194962832509044,1.202690923694695e-07,-9.220376298252381e-08,-0.766645537652115,2.8065329386945676e-08
COC(C)(C=O)CCC(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.187666307974275e-06,0.001096696013115351,1.214209958158493e-07,-9.335752971998561e-08,-0.7688746834326283,2.806346609586368e-08
COCC(P)(COC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.012307855919296e-06,0.0012909198343117876,1.1129826742829534e-07,-8.324499537594478e-08,-0.7479451145057217,2.805327205235055e-08
COCCN(C)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.6463460863596624e-06,0.0009493956414381373,1.2182053603016107e-07,-9.376861090393622e-08,-0.7697274528550787,2.805192512622486e-08
COP(=O)(OC)C(C)(OP(=O)(OC(C)(P(=O)(OC)OC)P(=O)(OC)OC)C(C)=O)P(=O)(OC)OC,[Li+].F[P-](F)(F)(F)(F)F,5.86345177276482e-07,0.0006892183752117901,1.2029172366641194e-07,-9.224432868607812e-08,-0.7668385311518713,2.8047394980333817e-08
COCCCCCCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.7225365252539557e-06,0.0012349304633341414,1.206249595477581e-07,-9.258252957606208e-08,-0.7675238186455648,2.804242997169603e-08
COCCN(CCC[Si](OC)(OC)OC)CCN(C)CCC[Si](OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,9.471590198630552e-07,0.0007635731455936611,1.1945373931356544e-07,-9.141485186084315e-08,-0.7652740917626667,2.8038887452722293e-08
COCC(F)(OF)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.4146617949487453e-06,0.0013895989704400841,1.1206358188579922e-07,-8.402792391485775e-08,-0.7498236492252068,2.803565797094147e-08
COCC(F)(F)C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.7908127373674086e-06,0.0012473288621754203,1.208947221911601e-07,-9.286251427691058e-08,-0.7681271158394766,2.8032207914249527e-08
COCC(CF)(CCl)COC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,3.4614913108606353e-06,0.0014002740829909476,1.1201323577598045e-07,-8.399951265142482e-08,-0.7499070272321983,2.8013723124555632e-08
CO[Si](CCC(F)(F)C(F)(F)C(F)(F)CC[Si](OC)(OC)OC)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.5400190105378056e-06,0.0009239899412144895,1.2059802221986257e-07,-9.259533187164897e-08,-0.7678014130516848,2.800269034821361e-08
