solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,norm_capacity_3_avg_pred,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
[CH2]CCOPOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.7456781616060781,-1.499162952861583,0.7712128864921999,-0.0926730125681291,-0.1665899838782868,0.2858003977158426,0.3698847923757429,0.2991710594519878,-0.377249823706381,-0.3098178398278275,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,121.04184119,186.93968547,1.0,0.0,150,50,2,0.2844045833922486,4027.0,1.4037908044980758e-06,0.0007678825812780628,5.239113894326558e-09,-4.728763468552136e-09,-9.265718670414657,5.103504257744225e-10
COCCOCCOCC(=O)SC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.2941129029563416,-0.2983262547714207,1.2646879576683423,0.1552412793376641,-0.1019772618384205,0.5274572706478047,0.5561312939012197,0.6112634755076907,-1.0234433314112192,-0.5264435661737947,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,208.076929992,186.93968547,1.0,0.0,150,50,2,0.2876235953508943,3800.0,1.3431977684070515e-06,0.0007609656388300371,6.048607624850878e-09,-5.470635296366445e-09,-9.465220092303786,5.779723284844315e-10
COCC(C)(COC)COC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8369964640594221,-1.4688044963460478,0.9977133147148024,-0.5424938064579499,0.4903803963493445,0.1115685327742316,1.222594785371539,-0.0786877583901613,0.2180794880798592,-0.0785622099732596,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,204.172544628,186.93968547,1.0,0.0,150,50,2,0.2960552885370331,3254.0,1.4011380228020056e-06,0.0007785775399879887,6.993716900724741e-09,-6.288844448460566e-09,-8.921960885632119,7.048724522641754e-10
CCCOC(COC)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.0795272292870663,-1.5751156235077195,0.816500876979335,-0.0291340063168371,-0.0774156392440806,0.5283868887327858,0.923531178964008,0.1533956603489384,0.2583598346665504,-0.1278374087676332,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,178.120509056,186.93968547,1.0,0.0,150,50,2,0.3306590739134019,1673.0,1.5716385825913187e-06,0.0008434901301804533,1.2108782904471103e-08,-1.0684439544159761e-08,-7.5013089131993285,1.424343360311343e-09
COCOCP(=O)(OC)OCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.763331401541454,-1.0993217553603225,1.0820494513995051,-0.5402996998659171,0.1751151676147937,0.1991507370606102,0.8834596339526668,0.3252401488182483,-0.5546183320840204,-0.3696765910232478,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,292.047690796,186.93968547,1.0,0.0,150,50,2,0.3260172895300539,1840.0,1.5669984339686234e-06,0.0008391068045958413,1.0033738375151532e-08,-8.921185141343027e-09,-8.018659125913391,1.1125532338085054e-09
COC(C)(C)CCC(C)(C=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8363419591803118,-1.0982022940581684,1.2336349931182535,-0.5909159746839288,0.5546173412719648,-0.0388358314394404,1.0809521182836346,-0.0506169249813842,0.0332271559881159,-0.0933611565028595,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,188.1412445,186.93968547,1.0,0.0,150,50,2,0.2807416461398972,4291.0,1.3391907675404721e-06,0.0007530258085291106,5.373649909541795e-09,-4.858351194056646e-09,-9.428222986122812,5.152987154851495e-10
COCC(C)(S(=O)(=O)OC)S(=O)(=O)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.8691738178028758,-1.092865258119836,1.0685575957288846,-0.4851107895025294,0.5704543703408639,0.0735609859454908,1.0350290067980843,-0.0818896208642742,-0.2640889961587464,-0.3778616604325265,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,262.01809478800004,186.93968547,1.0,0.0,150,50,2,0.3010599216216067,2968.0,1.4523578010564596e-06,0.0007928929896087122,7.585013795623373e-09,-6.779064853790069e-09,-8.411283273565221,8.059489418333051e-10
COP(=O)(CCCCCCOP(=O)(OC)OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.9752912280259868,-1.261783079460587,1.0729833195620806,0.1816863721782266,-0.2586653988202983,0.5673812647581365,0.4433362122532958,0.4571356028148234,-0.9334167599956256,-0.4698049126805919,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,318.09972636799995,186.93968547,1.0,0.0,150,50,2,0.2998457797600594,3036.0,1.3586570439970517e-06,0.0007783467669297214,9.526974725118645e-09,-8.507005804358742e-09,-8.340455901362958,1.0199689207599032e-09
COCCCC1CC(=O)SC1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0769329513786593,-0.890746739088827,1.2107082343202225,0.0656489468840273,-0.393925772218636,0.6155895140590759,0.5886054583046949,0.4717243795638854,-1.1371973601271803,-0.1617550860665742,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,188.050715244,186.93968547,1.0,0.0,150,50,2,0.3147334747038516,2262.0,1.4595294545361315e-06,0.0008084876761006786,9.366459125320892e-09,-8.38500557114834e-09,-8.543456320984632,9.81453554172554e-10
CCCO[Si](CC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.5974546772772944,-1.4910452499117135,0.4961720114536086,0.1661671145790469,-0.4270061523501069,0.6204060754816485,0.3021741321456433,-0.1815288664607381,-0.0918660960131295,-0.2217228767816612,-2.166579310001371,-0.4158155164535465,-0.412779777085149,-0.2895159063396369,1.0995798495581153,0.1287332969974012,-0.3223389822266234,0.2587669438124406,0.3017789808069028,-0.2726479648254733,147.08413125,186.93968547,1.0,0.0,150,50,2,0.2997178352186782,3044.0,1.4482291263997472e-06,0.0007901195688201499,6.019127009384352e-09,-5.435433366950396e-09,-9.31213392060444,5.836936424339554e-10
