solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCCN1C(=O)CN(C)C(=O)C1C(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.320712906,-0.714671634,1.365155977,0.357194542,0.029403824,-0.024601217,1.582746048,0.599211353,-0.522042746,0.022416745,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,256.1786926,186.9396855,1.0,0.0,150,50,2,1718.0,1.2213121764849911e-06,0.0007481537169930669,1.2926967617778211e-08,-1.1408947889629246e-08,-7.515678273523512,1.5180197281489653e-09
COCCCC(F)(F)P(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.022773357,-1.577455386,0.948114728,-0.379746751,0.059429764,0.397481529,1.409222685,0.489733387,-0.565284426,-0.473225677,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,200.0777728,186.9396855,1.0,0.0,150,50,2,75.0,2.273113915474197e-06,0.001118063040912968,5.145569766121649e-08,-4.199420542426812e-08,-4.438433639492429,9.46149223694837e-09
COCC(F)(F)CSC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.778126223,-1.479048805,1.008495563,-0.766666012,0.347264091,-0.116639768,0.96707173,0.158678935,-0.253885474,-0.39667808,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,156.0420424,186.9396855,1.0,0.0,150,50,2,3162.0,1.6779830903945112e-06,0.0008721633286521493,9.601962294159266e-09,-8.588481228258118e-09,-8.474239447800214,1.0134810659011481e-09
COCCN1CCN(C(F)(F)F)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.22194745,-0.596144225,1.391588377,0.404547297,0.071398302,-0.478141576,1.546292049,1.163559457,-0.502575433,-0.349207568,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,212.0772623,186.9396855,1.0,0.0,150,50,2,2045.0,1.186916443276098e-06,0.0007433620887944952,1.2147354749327965e-08,-1.0796589883858077e-08,-7.992945448801184,1.350764865469887e-09
CCOP(=O)(OCC)C(F)(F)CCCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.250253987,-1.252223076,0.972751646,0.192122271,0.210486822,0.641965508,1.123123612,0.358166897,-0.352440546,-0.388649274,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,274.1145522,186.9396855,1.0,0.0,150,50,2,718.0,1.7866131053378964e-06,0.0009312884625603103,2.0928466071559607e-08,-1.811212966169968e-08,-6.431095943754985,2.8163364098599308e-09
CCC[SiH2]OCCOCCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.113543162,-1.213623354,0.762560841,0.304635247,-0.501298569,0.684192324,0.64869414,0.441771352,-0.293834603,-0.213505481,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,192.118171,186.9396855,1.0,0.0,150,50,2,1717.0,1.6512841450106287e-06,0.00086801836872142,1.2612821724741324e-08,-1.1094762160486293e-08,-7.308515701049538,1.5180595642550282e-09
CCCC1C(=O)N(C)C(=O)N(CCCOC)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.431674544,-0.750947914,0.744252196,1.463342443,-0.903264088,0.472127784,1.079154001,0.537693153,-0.599697253,-0.052614522,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,256.1423071,186.9396855,1.0,0.0,150,50,2,2376.0,1.000782036963415e-06,0.0006861100743330949,1.1161094915012122e-08,-9.927130447708924e-09,-8.044907864652231,1.2339644673032014e-09
COCCCS(=O)(=O)N1CC(=O)N(C)C(=O)C1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.001120375,-0.887995409,1.233535655,0.457160372,-0.121555121,-0.063170041,1.25004151,1.04336467,-1.042173467,-0.410611015,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,264.0779926,186.9396855,1.0,0.0,150,50,2,2118.0,1.2620260240487106e-06,0.0007605410245334559,1.1873374008764796e-08,-1.0551532406505247e-08,-7.982448417774504,1.3218416022595484e-09
COCCOCO[AlH2],[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.925072993,-1.050297587,1.027599659,-0.368213143,-0.278683819,0.419654698,0.822460565,0.638424869,-0.759861216,-0.411888397,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,134.0523578,186.9396855,1.0,0.0,150,50,2,1119.0,1.84542452733386e-06,0.0009366161971312364,1.6655459929343278e-08,-1.4562599674249188e-08,-6.958228404788779,2.0928602550940903e-09
COCCCCCCN1CCN(C)C(=O)C1=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.091870136,-0.315146752,1.273147398,1.110459279,-0.420348024,0.066939683,1.050754406,1.290926133,-0.868669996,-0.315308112,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,242.1630426,186.9396855,1.0,0.0,150,50,2,4444.0,8.979439450152223e-07,0.000652115388406612,7.894389470186777e-09,-7.098553027757519e-09,-8.919612937162652,7.958364424292589e-10
