solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,theor_capacity,amt_electrolyte,norm_capacity_1,norm_capacity_2,norm_capacity_3,norm_capacity_4,norm_capacity_5,norm_capacity_6,norm_capacity_7,norm_capacity_8,norm_capacity_9,norm_capacity_10,norm_capacity_11,norm_capacity_12,norm_capacity_13,norm_capacity_14,norm_capacity_15,norm_capacity_16,norm_capacity_17,norm_capacity_18,norm_capacity_19,norm_capacity_20,norm_capacity_21,norm_capacity_22,norm_capacity_23
COC(OC)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.763499013,-1.479645119,0.935297717,-0.813958386,0.157691289,-0.724050496,0.577195118,-0.183906975,-0.090010121,-0.34550722,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,144.0398141,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(OC)C(F)(F)F,[Li+].F[P-](F)(F)(F)(F)F,-0.763499013,-1.479645119,0.935297717,-0.813958386,0.157691289,-0.724050496,0.577195118,-0.183906975,-0.090010121,-0.34550722,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,144.0398141,151.9801855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(OC)C(F)(F)F,[Li+].O=C1O[B-](F)(F)OC1=O,-0.763499013,-1.479645119,0.935297717,-0.813958386,0.157691289,-0.724050496,0.577195118,-0.183906975,-0.090010121,-0.34550722,-1.667608532,-0.618448488,-0.798955123,-0.287006982,0.737934385,-0.387958044,-0.076665854,0.008496047,0.16133813,0.109062661,144.0398141,144.0017749,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(F)(F)C(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.900533223,-1.482508155,0.838778968,-0.836133379,0.037687113,-0.440201697,0.923086821,0.022392412,-0.062370953,-0.277913267,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,146.0354777,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(F)(F)C(F)F,[Li+].F[P-](F)(F)(F)(F)F,-0.900533223,-1.482508155,0.838778968,-0.836133379,0.037687113,-0.440201697,0.923086821,0.022392412,-0.062370953,-0.277913267,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,146.0354777,151.9801855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(F)(F)C(F)F,[Li+].O=C1O[B-](F)(F)OC1=O,-0.900533223,-1.482508155,0.838778968,-0.836133379,0.037687113,-0.440201697,0.923086821,0.022392412,-0.062370953,-0.277913267,-1.667608532,-0.618448488,-0.798955123,-0.287006982,0.737934385,-0.387958044,-0.076665854,0.008496047,0.16133813,0.109062661,146.0354777,144.0017749,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(CC(F)(F)F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.874615645,-1.416076751,0.733659966,-0.734610708,0.144525357,-0.58925053,0.707574725,-0.029228618,0.073187916,-0.270348207,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,158.0554642,186.9396855,1,150,50,0.37510596,0.37510596,0.37510596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCC(C)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.898381183,-1.467829442,1.086570459,-0.709556123,0.226229008,0.227358945,1.573874667,0.327258317,-0.089751219,-0.204550589,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,148.1099444,186.9396855,1,150,50,6.67E-06,6.67E-06,6.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.094893947,-1.404056194,0.585391049,-0.764865229,-1.12770827,-0.580104181,0.501909091,0.331474635,-0.412697927,-0.318497454,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,104.0837296,186.9396855,1,150,50,6.67E-06,6.67E-06,6.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(C)OC,[Li+].F[P-](F)(F)(F)(F)F,-1.094893947,-1.404056194,0.585391049,-0.764865229,-1.12770827,-0.580104181,0.501909091,0.331474635,-0.412697927,-0.318497454,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,104.0837296,151.9801855,1,150,50,6.67E-06,6.67E-06,6.67E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
