solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,conc_salt_2,theor_capacity,amt_electrolyte,pressure_type,rank,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.888534924,-1.532756501,0.90794227,-0.240820551,-0.416103068,0.506807844,0.882704192,0.708296643,-0.830122454,-0.480508619,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,92.06374313,186.9396855,1.0,0.0,150,50,2,1155.0,1.921621038415631e-06,0.000954747315023751,2.1589204372743345e-08,-1.838183351904035e-08,-5.731121955485139,3.2073708537029953e-09
[CH]CCOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.867737578,-1.496309791,0.863331151,-0.209246011,-0.49012271,0.541553124,0.771577711,0.738896315,-0.787635112,-0.436652911,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,72.05751488,186.9396855,1.0,0.0,150,50,2,1133.0,1.8143288721430565e-06,0.0009107422964304144,2.0820895438913185e-08,-1.7578600005004747e-08,-5.421652765249268,3.242295433908436e-09
COP(C)(=O)OCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.753562698,-1.118194555,1.097617892,-0.364301824,0.288602552,-0.055253262,0.625064486,0.191183793,-0.46265371,-0.358552656,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,232.0265614,186.9396855,1.0,0.0,150,50,2,604.0,1.6404836406480632e-06,0.0008244517489567325,2.4815125443344848e-08,-1.9898786490860837e-08,-4.047480591387386,4.916338952484013e-09
CCOCP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.910448317,-1.075740063,0.883141915,-0.05843466,0.295812569,0.221401189,0.553123048,0.071918911,-0.217316674,-0.293479724,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,168.0551455,186.9396855,1.0,0.0,150,50,2,2725.0,1.396266203377833e-06,0.000732391624526349,1.3397623717027916e-08,-1.130924587336665e-08,-5.41532553972115,2.0883778436612686e-09
COCCCOF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.890195808,-1.534494982,0.903516331,-0.235865546,-0.425754444,0.534302902,0.873815423,0.685763193,-0.851037083,-0.481096005,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,108.0586577,186.9396855,1.0,0.0,150,50,2,1405.0,1.9131140968082463e-06,0.0009499671875699082,1.9995848846063578e-08,-1.7120845636023165e-08,-5.955070093915647,2.8750032100404158e-09
CCCOP(=O)(F)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.058271426,-1.123080372,0.876274709,0.393543005,-0.211164589,0.382839451,0.2974101,0.163466116,-0.356283048,-0.302273852,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,156.035159,186.9396855,1.0,0.0,150,50,2,3065.0,1.4236444176761209e-06,0.0007452450370676588,1.2975498547008488e-08,-1.0996778957956449e-08,-5.557522662028504,1.9787195890520415e-09
CCCOOP(=O)(OC)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-1.133150681,-1.177823866,0.774225877,0.394751893,-0.305648853,0.535721963,0.244742719,0.325985047,-0.403421222,-0.302083793,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,184.0500601,186.9396855,1.0,0.0,150,50,2,4647.0,1.3526768555870542e-06,0.0007201800442845107,1.1137720758664674e-08,-9.520846472574874e-09,-5.888427167457656,1.6168742860897989e-09
CCP(=O)(OC)OCF,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.768743515,-1.21258811,0.928729737,-0.052577117,0.030958862,0.090937484,0.215684059,0.193168235,-0.403195837,-0.359539524,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,156.035159,186.9396855,1.0,0.0,150,50,2,4847.0,1.3639255978900002e-06,0.0007171396053251978,1.0909228676361686e-08,-9.32216985907497e-09,-5.873865390201759,1.5870588172867144e-09
COP(C)(=O)OP(=O)(OC)OC(C)(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.706568902,-1.081113482,1.230032658,-0.553503168,0.680939168,-0.139121603,0.954571637,-0.021052216,-0.215609623,-0.254296675,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,260.0578616,186.9396855,1.0,0.0,150,50,2,2810.0,1.4383271087880787e-06,0.0007560363865490484,1.3534391917197474e-08,-1.1476573071203747e-08,-5.577057034707875,2.0578188459937255e-09
CCCOOOC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.945775016,-1.596214,0.561350439,0.249870751,-0.268002541,0.45564622,0.259071088,0.177893697,-0.140941533,-0.237904697,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,106.0629942,186.9396855,1.0,0.0,150,50,2,1652.0,1.3604762238316514e-06,0.0007217137127818108,1.572384751968082e-08,-1.30928252165207e-08,-4.97632619867757,2.6310223031601192e-09
